"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1271","test4_updateBooking()","","Sun Jul 06 00:21:42 ICT 2025","passed","Sun Jul 06 00:21:44 ICT 2025","","apitest.ApiTest","apitest.ApiTest","test4_updateBooking"
"","9738","Login Tanpa Mengisi Username dan Password","","Sun Jul 06 00:21:10 ICT 2025","passed","Sun Jul 06 00:21:20 ICT 2025","","Sign In Functionality","Sign In Functionality","Login Tanpa Mengisi Username dan Password"
"","1358","test2_createBooking()","","Sun Jul 06 00:21:39 ICT 2025","passed","Sun Jul 06 00:21:40 ICT 2025","","apitest.ApiTest","apitest.ApiTest","test2_createBooking"
"","2406","test5_deleteBooking()","","Sun Jul 06 00:21:44 ICT 2025","passed","Sun Jul 06 00:21:46 ICT 2025","","apitest.ApiTest","apitest.ApiTest","test5_deleteBooking"
"","2524","test3_getBookingByName()","","Sun Jul 06 00:21:40 ICT 2025","passed","Sun Jul 06 00:21:42 ICT 2025","","apitest.ApiTest","apitest.ApiTest","test3_getBookingByName"
"","3934","Menampilkan menu navigasi dan kategori produk di halaman utama","","Sun Jul 06 00:21:00 ICT 2025","passed","Sun Jul 06 00:21:04 ICT 2025","","Homepage Functionality","Menampilkan menu navigasi dan kategori produk di halaman utama",""
"","4960","test1_getToken()","","Sun Jul 06 00:21:33 ICT 2025","passed","Sun Jul 06 00:21:38 ICT 2025","","apitest.ApiTest","apitest.ApiTest","test1_getToken"
"","13527","Melakukan pemesanan","","Sun Jul 06 00:20:46 ICT 2025","passed","Sun Jul 06 00:21:00 ICT 2025","","Add to Cart Functionality","Add to Cart Functionality","Melakukan pemesanan"
"","10637","Menambahkan produk ke keranjang","","Sun Jul 06 00:20:36 ICT 2025","passed","Sun Jul 06 00:20:46 ICT 2025","","Add to Cart Functionality","Menambahkan produk ke keranjang",""
"","3945","Menampilkan menu navigasi dan kategori produk di halaman utama","","Sun Jul 06 00:21:00 ICT 2025","passed","Sun Jul 06 00:21:04 ICT 2025","","Homepage Functionality","Homepage Functionality","Menampilkan menu navigasi dan kategori produk di halaman utama"
"","10939","Menambahkan produk ke keranjang","","Sun Jul 06 00:20:35 ICT 2025","passed","Sun Jul 06 00:20:46 ICT 2025","","Add to Cart Functionality","Add to Cart Functionality","Menambahkan produk ke keranjang"
"","6126","SignIn Account Creation","","Sun Jul 06 00:21:04 ICT 2025","passed","Sun Jul 06 00:21:10 ICT 2025","","Sign In Functionality","SignIn Account Creation",""
"","6139","SignIn Account Creation","","Sun Jul 06 00:21:04 ICT 2025","passed","Sun Jul 06 00:21:10 ICT 2025","","Sign In Functionality","Sign In Functionality","SignIn Account Creation"
"","9732","Login Tanpa Mengisi Username dan Password","","Sun Jul 06 00:21:10 ICT 2025","passed","Sun Jul 06 00:21:20 ICT 2025","","Sign In Functionality","Login Tanpa Mengisi Username dan Password",""
"","13509","Melakukan pemesanan","","Sun Jul 06 00:20:46 ICT 2025","passed","Sun Jul 06 00:21:00 ICT 2025","","Add to Cart Functionality","Melakukan pemesanan",""
